,順位相関係数,p値
相関係数,1.0,0.0
p値,-0.7333333333333334,0.02455415007146968
人口平均,-0.45,0.22421610749233659
人口中央値,-0.45,0.22421610749233659
人口合計,-0.45,0.22421610749233659
人口分散,-0.26666666666666666,0.4879222748387009
人口標準偏差,-0.26666666666666666,0.4879222748387009
人口最大値,-0.35,0.35581957250178897
人口最小値,-0.21666666666666667,0.5755148957119259
人口四分位点(25%),-0.5499999999999999,0.12497678418833198
人口四分位点(75%),-0.45,0.22421610749233659
発言者数平均,-0.01673654817511446,0.9659125418111234
発言者数中央値,-0.01673654817511446,0.9659125418111234
発言者数合計,0.016666666666666666,0.9660548039946861
発言者数分散,0.09999999999999999,0.797971695234851
発言者数標準偏差,0.09244023874976198,0.8130181506544423
発言者数最大値,-0.016666666666666666,0.9660548039946861
発言者数最小値,-0.017487435419566724,0.9643839666256006
発言者数四分位点(25%),-0.01695158759052026,0.9654747777786836
発言者数四分位点(75%),-0.01673654817511446,0.9659125418111234
発言者数中央値/人口中央値,0.35,0.35581957250178897
