,順位相関係数,p値
相関係数,0.9999999999999999,4.747586108624434e-56
p値,-0.22393378771446726,0.5624419489800281
人口平均,-0.6360813815738409,0.06554317036151973
人口中央値,-0.6444690558340641,0.06097332970668914
人口合計,-0.6360814120826824,0.06554315336035298
人口分散,-0.5869568493464089,0.09659715992707017
人口標準偏差,-0.5576026093673485,0.11877802607576422
人口最大値,-0.5998538512494551,0.08772042321422278
人口最小値,-0.32463370253413204,0.3940225669546193
人口四分位点(25%),-0.5914856349945856,0.09342032677498972
人口四分位点(75%),-0.6294322718065813,0.06931444703856716
発言者数平均,-0.11247136437213094,0.7732768100777377
発言者数中央値,-0.09251017606172693,0.8128787020226195
発言者数合計,-0.1123272192550442,0.77356127314866
発言者数分散,-0.16657658332558456,0.668402083033726
発言者数標準偏差,-0.14490829004466474,0.7099122582771733
発言者数最大値,-0.1854888953712526,0.6327924126419463
発言者数最小値,-0.14687010933627961,0.7061249481529318
発言者数四分位点(25%),-0.10153248547463371,0.7949283899416979
発言者数四分位点(75%),-0.08077968467656833,0.8363292125121751
発言者数中央値/人口中央値,0.4845700443572855,0.1861769293399098
